TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	n_fragments	strand_symmetry_kappa	strand_symmetry_pseudo	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	100	100	1.0	10000	15.0	10.0	0	0	456	0	0	9	0	0	399.19	0.39	24.83	0.77	420.72	99.69	56.81	0.39	24.83	8.23	420.72	99.69	0.1246	0.0	0.0	0.9142	0.0	0.0	1436	1911.65	475.65	0.3312	8099	7142.75	956.25	465	945.6	1.0335	1901	2857.25	0.503	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	15.0	20.0	0	0	456	0	0	9	0	0	399.19	0.39	24.83	0.77	394.56	97.13	56.81	0.39	24.83	8.23	394.56	97.13	0.1246	0.0	0.0	0.9142	0.0	0.0	1436	1906.04	470.04	0.3273	8099	7177.09	921.91	465	916.87	0.9718	1901	2822.91	0.485	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	15.0	50.0	0	0	456	0	0	9	0	0	399.2	0.39	24.82	0.77	3.87	90.11	56.8	0.39	24.82	8.23	3.87	90.11	0.1246	0.0	0.0	0.9142	0.0	0.0	1436	1889.96	453.96	0.3161	8099	7590.88	508.12	465	519.16	0.1165	1901	2409.12	0.2673	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	20.0	1.0	0	0	456	0	0	9	0	0	399.16	0.39	24.86	0.77	406.8	130.75	56.84	0.39	24.86	8.23	406.8	130.75	0.1246	0.0	0.0	0.9144	0.0	0.0	1436	1963.96	527.96	0.3677	8099	7073.32	1025.68	465	962.72	1.0704	1901	2926.68	0.5395	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	20.0	5.0	0	0	456	0	0	9	0	0	399.16	0.39	24.86	0.77	424.02	126.69	56.84	0.39	24.86	8.23	424.02	126.69	0.1246	0.0	0.0	0.9144	0.0	0.0	1436	1961.64	525.64	0.366	8099	7062.48	1036.52	465	975.88	1.0987	1901	2937.52	0.5453	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	20.0	10.0	0	0	456	0	0	9	0	0	399.17	0.39	24.85	0.77	469.18	122.94	56.83	0.39	24.85	8.23	469.18	122.94	0.1246	0.0	0.0	0.9144	0.0	0.0	1436	1958.78	522.78	0.3641	8099	7023.93	1075.07	465	1017.29	1.1877	1901	2976.07	0.5655	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	20.0	20.0	0	0	456	0	0	9	0	0	399.17	0.39	24.85	0.77	447.46	117.53	56.83	0.39	24.85	8.23	447.46	117.53	0.1246	0.0	0.0	0.9144	0.0	0.0	1436	1953.17	517.17	0.3601	8099	7056.66	1042.34	465	990.17	1.1294	1901	2943.34	0.5483	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	20.0	50.0	0	0	456	0	0	9	0	0	399.18	0.39	24.85	0.77	388.73	107.33	56.82	0.39	24.85	8.23	388.73	107.33	0.1246	0.0	0.0	0.9143	0.0	0.0	1436	1937.12	501.12	0.349	8099	7141.65	957.35	465	921.24	0.9812	1901	2858.35	0.5036	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	50.0	1.0	0	0	456	0	0	9	0	0	398.85	0.39	24.91	0.77	607.98	13.28	57.15	0.39	24.91	8.23	607.98	13.28	0.1253	0.0	0.0	0.9149	0.0	0.0	1436	2553.72	1117.72	0.7784	8099	6400.1	1698.9	465	1046.18	1.2498	1901	3599.9	0.8937	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	50.0	5.0	0	0	456	0	0	9	0	0	398.86	0.39	24.91	0.77	607.95	13.27	57.14	0.39	24.91	8.23	607.95	13.27	0.1253	0.0	0.0	0.9149	0.0	0.0	1436	2547.73	1111.73	0.7742	8099	6406.12	1692.88	465	1046.16	1.2498	1901	3593.88	0.8905	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	50.0	10.0	0	0	456	0	0	9	0	0	398.88	0.39	24.91	0.77	607.87	13.26	57.12	0.39	24.91	8.23	607.87	13.26	0.1253	0.0	0.0	0.9148	0.0	0.0	1436	2540.51	1104.51	0.7692	8099	6413.41	1685.59	465	1046.08	1.2496	1901	3586.59	0.8867	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	50.0	20.0	0	0	456	0	0	9	0	0	398.9	0.39	24.91	0.77	607.41	13.25	57.1	0.39	24.91	8.23	607.41	13.25	0.1252	0.0	0.0	0.9148	0.0	0.0	1436	2526.88	1090.88	0.7597	8099	6427.5	1671.5	465	1045.62	1.2486	1901	3572.5	0.8793	10000	4841	0
100	0	0	3	0	0	100	100	1.0	10000	50.0	50.0	0	0	456	0	0	9	0	0	398.96	0.39	24.9	0.77	597.7	13.21	57.04	0.39	24.9	8.23	597.7	13.21	0.1251	0.0	0.0	0.9148	0.0	0.0	1436	2490.73	1054.73	0.7345	8099	6473.34	1625.66	465	1035.93	1.2278	1901	3526.66	0.8552	10000	4841	0
