n_transcripts,n_expressed_truth,n_expressed_pred,total_truth,total_predicted,total_abs_error,mae,median_abs_error,rmse,mean_rel_error,median_rel_error,mape,ware,pearson_r,spearman_r,log2_pearson_r,log2_spearman_r,precision,recall,f1,tp,fp,fn,tn,condition,tool,expression_bin,gdna_label,strand_specificity,nrna_label
98,98,98,182900.16215312172,155126.82400000002,27859.005650092862,284.2755678580904,258.8861519286005,316.65874779754574,0.15295589369525772,0.1412461871704839,15.295589369525771,0.152318102521799,0.9845998849337512,0.978603625142653,0.9587258782989009,0.978603625142653,1.0,1.0,1.0,98,0,0,0,gdna,kallisto,very_high_1000+,unknown,1.0,none
60878,0,10268,0.0,7607.577394075655,7607.577394075655,0.12496431213370437,0.0,3.4267172102936074,,,,,,,,,0.0,,,0,10268,0,50610,gdna_nrna,rigel/oracle_vbem,zero,nrna,1.0,none
19191,19191,18266,71897.59582272108,67848.69724383927,21336.08519122279,1.1117755818468444,0.7651250698936027,1.7985022845795529,0.3773872146552945,0.2504387448949809,37.73872146552945,0.29675658757535484,0.7918465860299492,0.8071532197780947,0.7819779050113406,0.8071532197780947,1.0,0.9518003230681048,0.9753050164188269,18266,0,925,0,gdna_nrna,rigel/oracle_vbem,low_1-10,nrna,1.0,none
11018,11018,11004,340976.9556923397,332990.24399313604,29706.074277175416,2.696140341003396,1.6850934806813918,4.738491973904206,0.10913722303147685,0.06575731883073366,10.913722303147685,0.08712047480410649,0.975995868143924,0.9639669579991423,0.9432032313450152,0.9639669579991423,1.0,0.9987293519695044,0.9993642720915448,11004,0,14,0,gdna_nrna,rigel/oracle_vbem,mid_10-100,nrna,1.0,none
1691,1691,1690,397096.50882273575,390715.11692549,15209.358460649648,8.994298320904582,5.426652221548892,17.689115463145896,0.043506256266122506,0.028538873561267396,4.350625626612251,0.038301415708087025,0.9944768360102038,0.9835080907740692,0.9713344676388178,0.9835080907740692,1.0,0.9994086339444116,0.9997042295178942,1690,0,1,0,gdna_nrna,rigel/oracle_vbem,high_100-1000,nrna,1.0,none
98,98,98,182229.10173611544,177288.75732717678,5289.487980910408,53.97436715214702,32.59191138070639,103.74216060874174,0.030267590764409113,0.020048049246285816,3.026759076440911,0.02902658209098827,0.9908881690208651,0.9859227664824128,0.9757921939906533,0.9859227664824128,1.0,1.0,1.0,98,0,0,0,gdna_nrna,rigel/oracle_vbem,very_high_1000+,nrna,1.0,none
60878,0,10615,0.0,10548.777304688812,10548.777304688812,0.17327733014699584,0.0,4.999708173043065,,,,,,,,,0.0,,,0,10615,0,50263,gdna_nrna,rigel/star_vbem,zero,nrna,1.0,none
19191,19191,18177,71897.59582272108,68902.60321051089,23560.77693104463,1.2276992825305941,0.7914189106478584,4.720600410756067,0.4204956140032564,0.25443513999276063,42.04956140032564,0.3276990928756335,0.43226004106938964,0.7959776181765008,0.7646003796639199,0.7959776181765008,1.0,0.9471627325308738,0.9728644829800899,18177,0,1014,0,gdna_nrna,rigel/star_vbem,low_1-10,nrna,1.0,none
11018,11018,11000,340976.9556923397,327930.1715984451,33571.4072602247,3.04696017972633,1.8715233255783676,6.60672637160601,0.11977485747364779,0.07303667141466758,11.977485747364778,0.09845652821921452,0.9539490257227866,0.9582413632250999,0.9310100537326892,0.9582413632250999,1.0,0.9983663096750771,0.9991824870560451,11000,0,18,0,gdna_nrna,rigel/star_vbem,mid_10-100,nrna,1.0,none
1691,1691,1686,397096.50882273575,384093.2678796984,24562.748643234103,14.525575779558903,7.544476571165603,52.90066973305262,0.060592106609396415,0.03944869848958425,6.059210660939642,0.06185586651480469,0.9502202271669699,0.9716511333620339,0.8578875406388833,0.9716511333620339,1.0,0.997043169722058,0.9985193959135328,1686,0,5,0,gdna_nrna,rigel/star_vbem,high_100-1000,nrna,1.0,none
98,98,98,182229.10173611544,166664.30516017196,15611.332832876677,159.29931462119058,76.30023483309446,305.8097477366281,0.08872644647110056,0.044864662638102876,8.872644647110056,0.08566871418530794,0.9244600613539361,0.9158808790620276,0.7535237694310949,0.9158808790620276,1.0,1.0,1.0,98,0,0,0,gdna_nrna,rigel/star_vbem,very_high_1000+,nrna,1.0,none
60878,0,11342,0.0,21761.239622,21761.239622,0.35745654624002104,0.0,6.7181629784179755,,,,,,,,,0.0,,,0,11342,0,49536,gdna_nrna,salmon,zero,nrna,1.0,none
19191,19191,16544,71897.59582272108,83470.18798799999,56310.515275703656,2.934214750440501,1.1700013861315424,20.528218429573663,1.0192196627602508,0.4166391894021872,101.92196627602507,0.7832044261194671,0.09420564935698236,0.5497340856108007,0.49857929674511176,0.5497340856108007,1.0,0.8620707623365119,0.9259269623618303,16544,0,2647,0,gdna_nrna,salmon,low_1-10,nrna,1.0,none
11018,11018,10686,340976.9556923397,282476.455264,115692.22817982372,10.500292991452508,4.411961685596017,33.06842395898425,0.37385314748215426,0.15878032432725658,37.38531474821543,0.3392963255974745,0.44881632026580326,0.6771622734277309,0.5387379546452898,0.6771622734277309,1.0,0.969867489562534,0.9847032805012901,10686,0,332,0,gdna_nrna,salmon,mid_10-100,nrna,1.0,none
1691,1691,1654,397096.50882273575,299533.17356200004,105232.8120340945,62.23111297107895,28.1197568442999,112.86276481623388,0.26322736944246145,0.12729047583917824,26.322736944246145,0.2650056338850124,0.8105318624628468,0.725406074331543,0.4444820604570598,0.725406074331543,1.0,0.9781194559432289,0.9889387144992526,1654,0,37,0,gdna_nrna,salmon,high_100-1000,nrna,1.0,none
98,98,97,182229.10173611544,131669.145103,51335.22040924419,523.8287796861651,313.63829640587073,760.0506895611098,0.28398067326462834,0.142231830319368,28.398067326462833,0.2817070375706638,0.6699040879193369,0.6960006120536311,0.37938243081964435,0.6960006120536311,1.0,0.9897959183673469,0.9948717948717948,97,0,1,0,gdna_nrna,salmon,very_high_1000+,nrna,1.0,none
60878,0,31453,0.0,108032.30631314778,108032.30631314778,1.7745705560817995,0.012084000000000001,14.920390170516004,,,,,,,,,0.0,,,0,31453,0,29425,gdna_nrna,kallisto,zero,nrna,1.0,none
19191,19191,18195,71897.59582272108,64029.233393303744,32685.61931074848,1.7031743687535033,1.0941541293634338,4.86493269039217,0.5579748080420179,0.33213750000955294,55.7974808042018,0.4546135227016752,0.321637877784145,0.6688928282969904,0.6147886779866021,0.6688928282969904,1.0,0.9481006721900891,0.9733590113946397,18195,0,996,0,gdna_nrna,kallisto,low_1-10,nrna,1.0,none
