locus_idx,n_transcripts,n_units,n_components,n_equiv_classes,ec_total_elements,max_ec_width,max_ec_depth,squarem_iterations,estep_threads_used,is_mega_locus,digamma_calls_per_estep,extract_us,bias_us,build_ec_us,warm_start_us,squarem_us,assign_us,total_us,squarem_time_s,total_time_s,em_fraction,hit_max_iters,converged
3089,47,6308,48,155,73239,42,1099,27,1,False,48,1816.29,1749.221,1566.533,242.355,46371.913,2331.967,54078.279,0.046371913,0.054078279,0.8574960937643744,False,True
6718,1,26758,2,1,53516,2,26758,1,1,False,2,16475.008,1194.555,30983.2,168.836,2093.489,2686.261,53601.349,0.002093489,0.053601349,0.03905664762280516,False,True
1627,19,4122,20,39,32515,12,875,9,1,False,20,8967.386,836.433,33098.755,103.057,8434.156,1044.613,52484.4,0.008434156000000002,0.0524844,0.1606983408403259,False,True
8520,6,4736,7,14,14347,7,2418,11,1,False,7,17232.228,366.459,25370.152,51.461,8019.695,626.556,51666.551,0.008019695,0.051666551,0.15522025071888387,False,True
5598,32,14836,33,106,70983,26,2519,15,1,False,33,1783.208,1758.613,2899.767,213.133,41396.738,2759.884,50811.343,0.041396737999999995,0.050811343,0.8147145018386938,False,True
179,4,8324,5,5,27891,5,6822,6,1,False,5,14047.573,672.398,26208.564,90.737,8495.101,1118.379,50632.752,0.008495101000000001,0.050632752,0.16777877291757715,False,True
8131,8,22405,9,16,97459,7,11710,8,1,False,9,2433.497,2282.605,5540.861,297.333,36186.013,3622.201,50362.51,0.036186012999999996,0.05036251,0.71851091218448,False,True
7040,9,6723,10,23,57070,10,5138,25,1,False,10,1709.936,1360.964,2128.98,180.828,41442.975,1764.905,48588.588,0.041442975,0.048588588,0.852936393212332,False,True
8187,26,2945,27,91,20321,18,462,36,1,False,27,22340.888,545.742,704.795,65.392,24059.689,744.542,48461.048,0.024059689,0.048461048,0.49647479765604735,False,True
7601,25,8413,26,61,91026,24,1585,16,1,False,26,2524.856,2185.75,2406.657,292.835,38056.322,2791.678,48258.098,0.038056322000000004,0.048258098,0.7885997081774753,False,True
4290,25,3622,26,71,23145,16,532,17,1,False,26,28921.575,550.479,4160.19,74.483,13465.63,808.464,47980.821,0.01346563,0.04798082100000001,0.28064609398826246,False,True
8181,19,11031,20,54,59201,14,4805,18,1,False,20,1826.869,1401.568,2352.446,175.028,39538.564,2176.741,47471.216,0.039538564,0.047471216000000004,0.8328955382141464,False,True
1651,27,20257,28,94,84067,18,4223,10,1,False,28,2054.988,1976.966,3928.275,245.342,35679.874,3237.194,47122.639,0.035679874,0.047122639,0.7571705396210938,False,True
1456,24,9767,25,63,98562,24,1639,14,1,False,25,2305.155,2416.202,2452.473,299.541,36639.076,2963.338,47075.785,0.036639076,0.047075785,0.7782998414152839,False,True
7011,24,6068,25,98,50599,24,457,30,1,False,25,1398.451,1313.644,1273.686,164.827,41108.466,1683.835,46942.909,0.041108466,0.046942909,0.8757119419250307,False,True
2701,112,4378,113,304,86497,48,242,22,1,False,113,2052.592,2145.48,1296.106,296.119,37218.374,2540.41,45549.081,0.037218374000000005,0.045549081,0.8171048280864328,False,True
2577,39,9395,40,143,124036,35,2269,12,1,False,40,2776.335,2981.402,2483.499,390.052,32356.624,3809.136,44797.048,0.032356624,0.044797048,0.7222936654218822,False,True
7411,33,6151,34,70,52785,18,695,26,1,False,34,1284.872,1282.61,1273.458,164.955,38983.65,1696.645,44686.19,0.03898365,0.04468619,0.8723869723509657,False,True
1653,22,11574,23,45,74193,17,2091,13,1,False,23,1767.014,1827.384,2472.593,217.456,34147.221,2495.81,42927.478,0.034147221,0.042927478000000005,0.7954630132243035,False,True
2898,82,3433,83,205,78415,50,317,24,1,False,83,1981.754,1912.082,1035.815,270.564,35100.421,2447.661,42748.297,0.035100421,0.042748297,0.8210951888913844,False,True
3199,42,1315,43,94,15527,35,202,28,1,False,43,29721.672,407.945,387.407,55.61,10823.157,504.198,41899.989,0.010823157,0.041899989,0.25830930409074804,False,True
6804,16,7155,17,50,23175,9,3831,12,1,False,17,24328.266,578.609,1565.937,73.22,14233.309,991.782,41771.123,0.014233309,0.041771123,0.340745184179032,False,True
183,12,2288,13,27,22333,13,1581,10,1,False,13,16192.6,541.365,18665.535,73.912,5145.089,679.871,41298.372,0.005145089,0.041298372,0.1245833370865079,False,True
5557,23,1601,24,49,26505,22,1036,13,1,False,24,23174.613,634.613,8644.425,98.117,6573.002,775.274,39900.044,0.0065730020000000005,0.039900044,0.16473671056603345,False,True
4292,16,3440,17,56,20529,12,629,9,1,False,17,31284.85,505.965,715.301,64.691,6482.958,720.984,39774.749,0.006482958,0.039774749000000005,0.16299180165788096,False,True
8284,23,7976,24,82,96378,24,2629,14,1,False,24,2293.396,2336.517,2235.065,312.729,29710.367,2829.198,39717.272,0.029710366999999998,0.039717272,0.748046517394246,False,True
2754,3,2256,4,4,9004,4,2237,8,1,False,4,25777.644,212.719,9513.704,26.151,3324.688,349.72,39204.626,0.003324688,0.039204626,0.08480346171393142,False,True
8538,17,4796,18,53,37810,16,1398,29,1,False,18,1195.973,901.263,1265.827,117.07,34407.12,1251.206,39138.459,0.03440712,0.039138459,0.8791127928669854,False,True
7037,47,2198,48,77,31639,43,787,50,1,False,48,986.882,759.745,714.242,120.381,34806.97,952.206,38340.426,0.03480697,0.038340426,0.9078399389719874,False,True
3944,25,7249,26,81,62056,24,762,15,1,False,26,1499.434,1516.821,1577.228,194.844,31482.247,1991.271,38261.845,0.031482247,0.038261845,0.822810478689671,False,True
8487,12,2660,13,38,16255,13,1970,14,1,False,13,26708.134,382.875,657.531,59.452,9741.444,563.559,38112.995,0.009741444,0.038112995000000004,0.2555937679523742,False,True
9019,29,2725,30,100,27715,27,308,11,1,False,30,24135.242,732.478,4603.766,93.212,7643.388,887.916,38096.002,0.007643388,0.038096002000000004,0.20063491176843176,False,True
9021,13,4204,14,27,19252,11,1853,13,1,False,14,22134.84,484.325,2860.597,59.391,10396.082,731.389,36666.624,0.010396082000000001,0.036666624,0.28352983901653994,False,True
4755,39,4563,40,74,75646,37,2054,18,1,False,40,1732.423,1866.961,1413.834,264.45,28949.42,2158.15,36385.238,0.028949419999999997,0.036385238,0.7956364061710961,False,True
7778,30,5076,31,112,45566,25,550,23,1,False,31,2284.19,1150.7,1506.422,147.404,29091.63,1527.113,35707.459,0.02909163,0.035707459000000004,0.814721372360884,False,True
6808,44,4660,45,167,43542,25,607,24,1,False,45,1400.698,1128.229,1192.974,140.701,30359.593,1431.517,35653.712,0.030359593,0.035653712,0.8515128242467432,False,True
8530,12,1634,13,17,6500,8,1223,5,1,False,13,32542.963,180.35,343.653,19.761,1510.036,254.626,34851.389,0.001510036,0.034851389,0.0433278570331874,False,True
7003,4,3785,5,6,12986,5,1901,14,1,False,5,2091.732,348.557,20907.675,39.361,10790.672,530.389,34708.386,0.010790672000000001,0.034708386,0.31089524013015185,False,True
460,55,1671,56,124,20716,42,146,10,1,False,56,7901.772,546.923,20465.726,73.058,4965.088,662.574,34615.141,0.0049650879999999994,0.034615141,0.14343688503247753,False,True
7412,28,1541,29,67,11319,17,364,12,1,False,29,29121.458,296.343,373.519,37.515,4336.769,391.769,34557.373,0.004336769,0.034557373,0.12549475331935678,False,True
3753,32,8772,33,130,55128,19,651,15,1,False,33,1361.158,1387.37,1608.049,166.604,27855.829,1995.762,34374.772,0.027855829000000002,0.034374772,0.8103567639663182,False,True
567,16,5586,17,33,14701,9,2912,6,1,False,17,26025.042,352.762,1859.383,47.14,4809.897,687.24,33781.464,0.004809897,0.033781464,0.14238272799544743,False,True
4764,10,2368,11,23,18095,11,1034,13,1,False,11,21924.66,450.978,3302.272,60.62,7153.24,624.586,33516.356,0.00715324,0.033516356,0.21342534970090424,False,True
5859,35,3197,36,110,16532,18,435,16,1,False,36,21450.981,420.58,659.289,94.986,9977.83,635.773,33239.439,0.00997783,0.033239438999999996,0.3001804573175859,False,True
5802,52,5413,53,162,68381,27,425,16,1,False,53,1592.581,1705.874,1240.137,223.223,25557.409,2127.574,32446.798,0.025557409,0.032446798,0.7876712210554644,False,True
5310,4,1809,5,8,5223,5,1023,5,1,False,5,8719.034,136.192,21876.654,17.25,1372.643,238.067,32359.84,0.001372643,0.03235984,0.04241810219086374,False,True
3211,77,3122,78,218,51686,58,431,24,1,False,78,1313.932,1338.237,870.387,175.086,27005.675,1617.231,32320.548,0.027005675,0.032320548,0.8355574602262313,False,True
2721,37,3305,38,106,47088,32,570,26,1,False,38,1091.397,1159.332,836.067,158.385,27516.158,1374.211,32135.55,0.027516158,0.03213555,0.8562529037156669,False,True
891,13,3694,14,19,40865,14,1655,28,1,False,14,1356.941,960.105,1104.999,128.582,26948.231,1218.776,31717.634,0.026948231,0.031717634,0.8496292945432184,False,True
6171,16,654,17,27,5457,15,353,128,1,False,17,10119.624,149.114,153.583,17.947,20234.6,183.69,30858.558,0.0202346,0.030858558,0.65572085383899,False,True
3225,9,1771,10,24,10783,10,414,8,1,False,10,26876.142,289.003,371.744,35.509,2831.208,386.931,30790.537,0.002831208,0.030790537,0.09195058858505781,False,True
1601,15,5737,16,36,32733,16,1446,9,1,False,16,16095.523,829.004,1277.038,100.734,10569.727,1173.039,30045.065,0.010569727000000001,0.030045065,0.35179577744298446,False,True
5456,2,4764,3,1,14292,3,4764,5,1,False,3,9550.49,338.792,16026.542,45.15,3465.73,595.498,30022.202,0.00346573,0.030022202,0.11543890085077703,False,True
1458,22,1218,23,54,7650,21,190,74,1,False,23,8881.294,203.756,244.248,25.821,20096.988,282.74,29734.847,0.020096988,0.029734847000000002,0.6758732607569832,False,True
1746,14,3155,15,39,10172,11,1291,7,1,False,15,21033.907,256.756,4268.604,33.187,3545.092,440.038,29577.584,0.003545092,0.029577584,0.11985738929859857,False,True
