normalizer	bin	bp	bp_fraction	weighted_bp	weighted_fraction	gdna_eff_len_contribution
global_q99.9	[1e-1,1)	11402236.0	0.03227179185474908	3523356.4761457555	0.3713562174704191	3527776.308105176
global_q99.9	A==1	935950.0	0.002649022839595006	935950.0	0.09864765433035345	937124.091168585
global_q99.95	[1e-4,1e-3)	57852167.0	0.16373920797378547	38041.55301776486	0.005839167070362665	38089.27378429878
global_q99.95	[1e-3,1e-2)	195677804.0	0.5538276318155831	716515.5751307203	0.10998116059434974	717414.3994364146
global_q99.95	[1e-2,1e-1)	90642877.0	0.2565468790208888	2839648.300111133	0.4358702400419108	2843210.4626102494
global_q99.95	[1e-1,1)	8659966.0	0.024510334659026876	2434540.315892515	0.37368841480765436	2437594.2955756746
global_q99.95	A==1	486148.0	0.0013759465307157785	486148.0	0.07462101748572243	486757.84248456144
global_max	[1e-4,1e-3)	352210648.0	0.9968631346765928	37778.13137504071	0.9062725282392423	37825.521695477786
global_max	[1e-3,1e-2)	1045954.0	0.00296036757857338	2174.7526391230012	0.0521708856636333	2177.480731294005
global_max	[1e-2,1e-1)	61079.0	0.00017287212566870384	1543.154191546776	0.037019254254593834	1545.0899826767081
global_max	[1e-1,1)	1281.0	3.6256191650421526e-06	189.13948409348995	0.004537331842530508	189.3767478339728
global_max	A==1	0.0	0.0	0.0	0.0	0.0
class_q95	[1e-4,1e-3)	0.0	0.0	0.0	0.0	0.0
class_q95	[1e-3,1e-2)	14070831.0	0.039824726418164896	110468.43253809541	0.001750126797437599	110607.00832852269
class_q95	[1e-2,1e-1)	199895243.0	0.5657642654344717	9150611.231434919	0.14497109772554242	9162090.105129007
class_q95	[1e-1,1)	125183120.0	0.35430625996235093	39689397.50902519	0.6287902938311726	39739185.39417055
class_q95	A==1	14169768.0	0.0401047481850125	14169768.0	0.2244884816458475	14187543.094256848
class_q99	[1e-4,1e-3)	0.0	0.0	0.0	0.0	0.0
class_q99	[1e-3,1e-2)	118343956.0	0.3349493481190517	638990.3217637655	0.03291044467759615	639791.8954520973
class_q99	[1e-2,1e-1)	188208136.0	0.5326862021065261	6214855.941652945	0.32008884278941396	6222652.092595968
class_q99	[1e-1,1)	44207714.0	0.12512126082833902	10003032.008486014	0.5151943938913196	10015580.191124229
class_q99	A==1	2559156.0	0.007243188946083228	2559156.0	0.13180631864167022	2562366.30232238
class_q99.5	[1e-4,1e-3)	2226609.0	0.006301979909020564	1907.0882911552171	0.00014933328208139552	1909.4806150190532
class_q99.5	[1e-3,1e-2)	172661228.0	0.4886837293493464	837451.9106198974	0.0655761156828508	838502.4420503943
class_q99.5	[1e-2,1e-1)	152173321.0	0.43069672835730793	5012945.266290144	0.3925353498217111	5019233.694908928
class_q99.5	[1e-1,1)	24962431.0	0.07065126326279653	5623007.638889645	0.44030587874644245	5630061.352880463
class_q99.5	A==1	1295373.0	0.0036662991215286093	1295373.0	0.10143332246691422	1296997.9650080919
class_q99.9	[1e-4,1e-3)	38394830.0	0.1086690331666943	26681.157284315224	0.004908104889723116	26714.627139686923
class_q99.9	[1e-3,1e-2)	214150645.0	0.606111383854909	794453.267137856	0.14614283494322167	795449.8594395816
class_q99.9	[1e-2,1e-1)	93409010.0	0.264375875756139	2583214.1540128784	0.47519250703438787	2586454.6357958694
class_q99.9	[1e-1,1)	7064346.0	0.019994245313106066	1731662.8602039106	0.31854626322805935	1733835.1237555235
class_q99.9	A==1	300131.0	0.000849461909151652	300131.0	0.05521028990460806	300507.4957065213
soft_global_q95	[1e-4,1e-3)	1.0	2.8303037978471136e-09	0.0007965448643908642	1.224457348509389e-11	0.0007975440804714914
soft_global_q95	[1e-3,1e-2)	5465698.0	0.015469585807285373	46511.33962512422	0.000714977324429191	46569.68521312884
soft_global_q95	[1e-2,1e-1)	177680465.0	0.5028896948927412	8070463.793952854	0.12406003905306046	8080587.689745221
soft_global_q95	[1e-1,1)	170172798.0	0.4816407164696697	56935912.60896335	0.8752249836102658	57007335.1765893
soft_global_q95	A==1	0.0	0.0	0.0	0.0	0.0
locus_q99	[1e-4,1e-3)	1574448.0	0.004456166153912792	1359.3667653376547	7.054222819661933e-05	1361.072006551449
locus_q99	[1e-3,1e-2)	152341223.0	0.4311719420255741	718697.2386331917	0.037295677593934505	719598.799700306
locus_q99	[1e-2,1e-1)	153137815.0	0.43342653938850867	5029445.39804107	0.26099526192471234	5035754.525050762
locus_q99	[1e-1,1)	42731739.0	0.12094380318031162	9987016.559636036	0.5182607219165523	9999544.651887951
locus_q99	A==1	3533737.0	0.010001549251692866	3533737.0	0.1833777963366043	3538169.853682143
locus_q99.9	[1e-4,1e-3)	78067395.0	0.22095444455653077	48179.435801176136	0.009190035087191298	48239.87391227349
locus_q99.9	[1e-3,1e-2)	189308254.0	0.5357998702600061	672615.0470493695	0.12829863570975308	673458.8008680544
locus_q99.9	[1e-2,1e-1)	78179160.0	0.22127077346049714	2248020.993176351	0.4288010322347728	2250840.9959488087
locus_q99.9	[1e-1,1)	7410827.0	0.02097489180328793	1920432.1751147297	0.3663147726492188	1922841.238052567
locus_q99.9	A==1	353326.0	0.0010000199196781292	353326.0	0.06739552431906408	353769.22553152574
locus_max	[1e-4,1e-3)	350515632.0	0.9920657244543812	39803.0203197233	0.8148049937508529	39852.950737630665
locus_max	[1e-3,1e-2)	2687998.0	0.007607850948005445	5312.629427140171	0.10875448527298184	5319.293790933504
locus_max	[1e-2,1e-1)	110756.0	0.0003134731274343549	2979.2729751583097	0.06098849982756351	2983.0102881439793
locus_max	[1e-1,1)	4497.0	1.272787617891847e-05	675.82737154978	0.013834817378906433	676.6751550301204
locus_max	A==1	79.0	2.2359400002992198e-07	79.0	0.001617203769695356	79.09910059545726
