condition	gdna	ss	cap	gfrac	emd_pass0	emd_refit	d_emd	l1_pass0	l1_refit	d
gdna100_ss_0.99_present_capture_off	gdna100	0.99	off	0.4366808878447712	0.03224354064792119	0.03112945798251242	-0.0011140826654087686	0.18511975085286173	0.17455891288698638	-0.010560837965875342
gdna100_ss_0.99_none_capture_on	gdna100	0.99	on	0.5327931225253004	0.028422874616393888	0.027529009019610903	-0.0008938655967829848	0.14506992958781917	0.14047915537177513	-0.004590774216044036
gdna300_ss_0.99_none_capture_on	gdna300	0.99	on	0.773889073948844	0.022996618803554306	0.02265004633817529	-0.0003465724653790164	0.11401240798772269	0.1120092548152147	-0.0020031531725079876
gdna300_ss_0.99_present_capture_off	gdna300	0.99	off	0.699261850966933	0.012646285417017221	0.012654618219870666	8.332802853444968e-06	0.07474840203687431	0.07190697230298514	-0.002841429733889178
gdna300_ss_0.99_none_capture_off	gdna300	0.99	off	0.7872554485426735	0.013577262097283013	0.013795222118436633	0.0002179600211536202	0.07197616024408947	0.07292682239678817	0.0009506621526987058
gdna1_ss_0.50_present_capture_on	gdna1	0.50	on	0.007524595563178885	0.5332556957872547	0.5847884038106282	0.05153270802337351	0.8943717529388857	0.5595569377307331	-0.3348148152081526
gdna300_ss_0.50_none_capture_on	gdna300	0.50	on	0.7739822969399952	0.23860604528933685	0.4242153021859457	0.18560925689660887	0.7045147643210612	0.5642564684170395	-0.14025829590402172
gdna100_ss_0.50_none_capture_on	gdna100	0.50	on	0.5330249943377172	0.2727400069846452	0.46289415110931165	0.19015414412466647	0.7739072047785114	0.6592365940795284	-0.11467061069898299
gdna100_ss_0.99_present_capture_on	gdna100	0.99	on	0.4320025491637772	0.0757801152380907	0.27197392709524765	0.19619381185715695	0.373365237757129	0.3510987268051634	-0.02226651095196558
gdna300_ss_0.50_present_capture_on	gdna300	0.50	on	0.6954168079995895	0.1913504936021646	0.4223059500452223	0.2309554564430577	0.601028313626723	0.5125612197291195	-0.08846709389760354
gdna100_ss_0.50_present_capture_on	gdna100	0.50	on	0.4320801225045118	0.18193077921838302	0.4549505629874531	0.2730197837690701	0.5735546319292156	0.5447610977073973	-0.028793534221818295
gdna5_ss_0.50_present_capture_on	gdna5	0.50	on	0.03664143400442824	0.2377961618760434	0.5881623329027202	0.35036617102667683	0.47511586321621574	0.3961745250510311	-0.07894133816518462
gdna100_ss_0.50_present_capture_verystrong	gdna100	0.50	verystrong	0.4309826565228032	0.20900488207887	0.6211176085989474	0.41211272652007735	0.7642255011513228	0.537818190003934	-0.22640731114738877
gdna5_ss_0.50_present_capture_verystrong	gdna5	0.50	verystrong	0.036473778474570694	0.2673444608116681	0.7410685530966643	0.4737240922849962	0.7826464667608387	0.7457436365316916	-0.03690283022914709
gdna1_ss_0.50_present_capture_verystrong	gdna1	0.50	verystrong	0.00749325896717696	0.6206872114430406	1.1139700647337714	0.49328285329073074	1.5380636528466778	1.527776203057729	-0.010287449788948688
