field	class	kappa_len	rho_global	rho_ref	n_regions	sum_y	sum_e	mean_rho_hat_e_weighted	mean_weight_e_weighted	n_at_floor	n_at_one	rho_q010	rho_q050	rho_q100	rho_q250	rho_q500	rho_q750	rho_q900	rho_q950	rho_q990	rho_q999	weight_q010	weight_q050	weight_q100	weight_q250	weight_q500	weight_q750	weight_q900	weight_q950	weight_q990	weight_q999
clipped_alpha_over_rho_global__exon-intron_q990	ALL	529.9166616622495	0.0018870891827843024	0.17964776159693707	647987	5719368.815103848	3030788829.3150067	0.001111065399404004	0.005929268311508447	8591	3093	4.5951082026273624e-08	1.9952593815626066e-07	2.3370571348596294e-06	7.818983866959019e-06	2.689953282571471e-05	0.00010766419960124607	0.000535233383871811	0.0008764462301425569	0.029899017466526456	0.15164232573520303	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.0001497348621914216	0.0005993072145413347	0.0029793490278641845	0.004878692739344993	0.16643133875282431	0.8441091855930393
clipped_alpha_over_rho_global__exon-intron_q990	INTERGENIC	529.9166616622495	0.0018870891827843024	0.17964776159693707	33120	10370.0	1308005750.7008893	2.749257054607997e-05	0.00020224306888855738	5142	0	3.309069565801727e-08	5.030630422831072e-08	9.314375088698323e-08	2.636568306484753e-06	7.632785465116457e-06	2.1535428419721177e-05	5.31409635742952e-05	9.283243154441469e-05	0.0002817496121550223	0.0013580797511672132	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.0001198758516570815	0.00029580643311061006	0.0005167469425680699	0.001568344685458223	0.007559680894962888
clipped_alpha_over_rho_global__exon-intron_q990	INTRON	529.9166616622495	0.0018870891827843024	0.17964776159693707	296039	301315.54418251116	1541887072.7065003	0.00022281494711678813	0.0012462036962104697	3449	44	4.112879333651353e-06	7.084687325690333e-06	1.0301662624491059e-05	2.1281986302051612e-05	5.531311429546534e-05	0.00016392833289187328	0.00042525920068328937	0.0007455128897062976	0.002650187590432817	0.012232891022160594	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00011846507917978122	0.0003078975980762143	0.0009124986108074515	0.0023671834088164877	0.004149859052399173	0.014752132544678482	0.06809375699100924
clipped_alpha_over_rho_global__exon-intron_q990	EXON-INTRON	529.9166616622495	0.0018870891827843024	0.17964776159693707	318828	5407683.270921337	180896005.90761682	0.01651716221825815	0.08725631955799322	0	3049	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0011969683416811522	0.06574137245478748	0.10082030217807829	0.17964776159693707	0.39345452811949605	0.004878692739344993	0.004878692739344993	0.004878692739344993	0.004878692739344993	0.004878692739344993	0.006662862543017404	0.3659459593061156	0.5612110124938915	1.0	1.0
clipped_alpha_over_rho_global__exon-intron_max	ALL	529.9166616622495	0.0018870891827843024	1.3750571779586191	647987	5719368.815103848	3030788829.3150067	0.001111065399404004	0.0008699089156519807	65761	4	4.5951082026273624e-08	1.9952593815626066e-07	2.3370571348596294e-06	7.818983866959019e-06	2.689953282571471e-05	0.00010766419960124607	0.000535233383871811	0.0008764462301425569	0.029899017466526456	0.15164232573520303	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00038924445648609867	0.0006373889349413897	0.02174383578064289	0.11028074189636827
clipped_alpha_over_rho_global__exon-intron_max	INTERGENIC	529.9166616622495	0.0018870891827843024	1.3750571779586191	33120	10370.0	1308005750.7008893	2.749257054607997e-05	0.00010580207870968958	19983	0	3.309069565801727e-08	5.030630422831072e-08	9.314375088698323e-08	2.636568306484753e-06	7.632785465116457e-06	2.1535428419721177e-05	5.31409635742952e-05	9.283243154441469e-05	0.0002817496121550223	0.0013580797511672132	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.0002049002882725949	0.000987653293940394
clipped_alpha_over_rho_global__exon-intron_max	INTRON	529.9166616622495	0.0018870891827843024	1.3750571779586191	296039	301315.54418251116	1541887072.7065003	0.00022281494711678813	0.00021091097797598605	45778	3	4.112879333651353e-06	7.084687325690333e-06	1.0301662624491059e-05	2.1281986302051612e-05	5.531311429546534e-05	0.00016392833289187328	0.00042525920068328937	0.0007455128897062976	0.002650187590432817	0.012232891022160594	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00011921564827961389	0.000309266558147509	0.0005421686469889714	0.001927329010686835	0.008896278073557121
clipped_alpha_over_rho_global__exon-intron_max	EXON-INTRON	529.9166616622495	0.0018870891827843024	1.3750571779586191	318828	5407683.270921337	180896005.90761682	0.01651716221825815	0.012011982107376204	0	1	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0008764462301425569	0.0011969683416811522	0.06574137245478748	0.10082030217807829	0.17964776159693707	0.39345452811949605	0.0006373889349413897	0.0006373889349413897	0.0006373889349413897	0.0006373889349413897	0.0006373889349413897	0.0008704862320402898	0.04780991911360788	0.07332080715927318	0.1306474846839739	0.28613684901715164
five_prior_fragments_over_rho__exon-intron_q990	ALL	2649.583308311247	0.0018870891827843024	0.06349096364808826	647987	5719368.815103848	3030788829.3150067	0.000667182691296604	0.01023471070072304	41	3034	2.297330339096577e-07	9.972079431454032e-07	1.1627684658635986e-05	3.781620147900325e-05	0.00012016351061190152	0.00039130466989846854	0.0011366221865006345	0.0015334422503626636	0.011484641296138614	0.05428108945580659	0.00010000000000000009	0.00010000000000000009	0.00018313920581021292	0.0005956154908690203	0.0018926080769215037	0.006163155312421394	0.017902109547440436	0.024152133819579164	0.18088623382367605	0.8549419686976355
five_prior_fragments_over_rho__exon-intron_q990	INTERGENIC	2649.583308311247	0.0018870891827843024	0.06349096364808826	33120	10370.0	1308005750.7008893	9.180952630048861e-05	0.00146049270357717	41	0	1.6544187399125131e-07	2.5150470254241926e-07	4.656268240072559e-07	1.3109576750057448e-05	3.694935042356091e-05	9.952480760972099e-05	0.0002259222419508438	0.0003622469451324855	0.000792148705469887	0.001633923534564207	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00020647941056179203	0.0005819623502386938	0.0015675428736813277	0.0035583369501692285	0.0057054882193994325	0.0124765582368624	0.025734741460541756
