strand_specificity	n_rna_fragments	gdna_fraction	TA1	NTA1	TD	TE	NTD	NTE	gdna	TA1_expected	TD_expected	TE_expected	TA1_observed	TD_observed	TE_observed	TA1_abs_diff	TD_abs_diff	TE_abs_diff	TA1_rel_err	TD_rel_err	TE_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric	rna_fl_true_mean	rna_fl_est_mean	rna_fl_mean_err	rna_fl_true_std	rna_fl_est_std	gdna_fl_true_mean	gdna_fl_est_mean	gdna_fl_mean_err	gdna_fl_true_std	gdna_fl_est_std	rna_fl_n_obs	gdna_fl_n_obs	cal_kappa_true	cal_kappa_est	cal_kappa_err	cal_density_est	cal_gdna_fl_true_mean	cal_gdna_fl_est_mean	cal_gdna_fl_mean_err	cal_gdna_fl_true_std	cal_gdna_fl_est_std	cal_n_seed	cal_n_iterations	cal_converged	cal_mean_weight	cal_n_regions
0.5	10000	0.0	10	200	0	0	0	0	0	54	0	0	22.16	0.0	0.0	31.84	0.0	0.0	0.5897	0.0	0.0	9946	0.23	9945.77	1.0	0	9977.61	9977.61	54	22.16	0.5897	10000	22.39	0.9978	10000	0	0	250	249.43	-0.57	50	39.41	250.0	249.19	-0.81	50.0	51.39	14	9980		50.0		8.1000e-01	250.0	247.21	-2.79	50.0	49.84	1	1	True	0.4147	13
0.5	10000	0.0	10	500	0	0	0	0	0	22	0	0	10.46	0.0	0.0	11.54	0.0	0.0	0.5247	0.0	0.0	9978	0.22	9977.78	1.0	0	9989.32	9989.32	22	10.46	0.5247	10000	10.68	0.9989	10000	0	0	250	250.0	0.0	50	36.88	250.0	249.04	-0.96	50.0	50.29	8	9605		50.0		7.9636e-01	250.0	247.52	-2.48	50.0	49.89	1	1	True	0.4292	13
0.5	10000	0.0	10	1000	0	0	0	0	0	11	0	0	2.66	0.0	0.0	8.34	0.0	0.0	0.7586	0.0	0.0	9989	0.21	9988.79	1.0	0	9997.13	9997.13	11	2.66	0.7586	10000	2.87	0.9997	10000	0	0	250	250.0	0.0	50	43.0	250.0	249.02	-0.98	50.0	50.23	2	9905		50.0		7.8077e-01	250.0	246.14	-3.86	50.0	49.91	1	1	True	0.423	13
0.5	10000	0.0	20	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250.0			50.0		10000	0		50.0		5.6830e+00	250.0	247.1	-2.9	50.0	50.4	0	1	True	0.4127	13
0.5	10000	0.0	20	5	0	0	0	0	0	3020	0	0	2461.77	0.0	0.0	558.23	0.0	0.0	0.1848	0.0	0.0	6980	0.65	6979.35	0.9999	0	7537.58	7537.58	3020	2461.77	0.1848	10000	2462.42	0.7538	10000	0	0	250	258.77	8.77	50	49.46	250.0	249.67	-0.33	50.0	53.85	663	9201		50.0		5.6998e-01	250.0	249.83	-0.17	50.0	49.8	1	1	True	0.325	13
0.5	10000	0.0	20	10	0	0	0	0	0	1778	0	0	1107.69	0.0	0.0	670.31	0.0	0.0	0.377	0.0	0.0	8222	0.46	8221.54	0.9999	0	8891.85	8891.85	1778	1107.69	0.377	10000	1108.15	0.8892	10000	0	0	250	258.1	8.1	50	48.2	250.0	248.83	-1.17	50.0	53.89	378	9595		50.0		6.8458e-01	250.0	248.86	-1.14	50.0	49.58	1	1	True	0.3413	13
0.5	10000	0.0	20	20	0	0	0	0	0	976	0	0	427.25	0.0	0.0	548.75	0.0	0.0	0.5622	0.0	0.0	9024	0.36	9023.64	1.0	0	9572.39	9572.39	976	427.25	0.5622	10000	427.61	0.9572	10000	0	0	250	258.11	8.11	50	47.25	250.0	248.89	-1.11	50.0	51.75	208	9466		50.0		7.5438e-01	250.0	248.06	-1.94	50.0	50.3	1	1	True	0.4092	13
0.5	10000	0.0	20	50	0	0	0	0	0	415	0	0	417.36	0.0	0.0	2.36	0.0	0.0	0.0057	0.0	0.0	9585	9582.17	2.83	0.0003	0	0.48	0.48	415	417.36	0.0057	10000	9999.52	0.0	10000	0	0	250	250.47	0.47	50	50.36	250.0			50.0		389	0		50.0		7.8666e-01	250.0	247.89	-2.11	50.0	49.52	1	1	True	0.3515	13
0.5	10000	0.0	20	100	0	0	0	0	0	212	0	0	55.23	0.0	0.0	156.77	0.0	0.0	0.7395	0.0	0.0	9788	0.24	9787.76	1.0	0	9944.53	9944.53	212	55.23	0.7395	10000	55.47	0.9945	10000	0	0	250	251.77	1.77	50	36.86	250.0	249.05	-0.95	50.0	50.08	39	9686		50.0		8.2979e-01	250.0	248.47	-1.53	50.0	50.31	0	1	True	0.4317	13
0.5	10000	0.0	20	200	0	0	0	0	0	107	0	0	23.39	0.0	0.0	83.61	0.0	0.0	0.7814	0.0	0.0	9893	0.23	9892.77	1.0	0	9976.38	9976.38	107	23.39	0.7814	10000	23.62	0.9976	10000	0	0	250	236.06	-13.94	50	39.0	250.0	248.97	-1.03	50.0	50.16	17	8392		50.0		7.9843e-01	250.0	248.49	-1.51	50.0	50.29	1	1	True	0.3677	13
0.5	10000	0.0	20	500	0	0	0	0	0	43	0	0	9.34	0.0	0.0	33.66	0.0	0.0	0.7827	0.0	0.0	9957	0.22	9956.78	1.0	0	9990.44	9990.44	43	9.34	0.7827	10000	9.56	0.999	10000	0	0	250	267.71	17.71	50	34.48	250.0	249.03	-0.97	50.0	50.32	7	9895		50.0		8.1750e-01	250.0	247.2	-2.8	50.0	50.37	1	1	True	0.4149	13
0.5	10000	0.0	20	1000	0	0	0	0	0	22	0	0	10.46	0.0	0.0	11.54	0.0	0.0	0.5247	0.0	0.0	9978	0.22	9977.78	1.0	0	9989.32	9989.32	22	10.46	0.5247	10000	10.68	0.9989	10000	0	0	250	250.0	0.0	50	36.88	250.0	249.04	-0.96	50.0	50.29	8	9605		50.0		7.9636e-01	250.0	247.52	-2.48	50.0	49.89	1	1	True	0.4292	13
0.5	10000	0.0	50	0	0	0	0	0	0	10000	0	0	10000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	10000	10000.0	0.0	10000	10000.0	0.0	10000	0	0	250	251.24	1.24	50	65.94	250.0			50.0		10000	0		50.0		5.6830e+00	250.0	247.1	-2.9	50.0	50.4	0	1	True	0.4127	13
0.5	10000	0.0	50	5	0	0	0	0	0	5196	0	0	4857.43	0.0	0.0	338.57	0.0	0.0	0.0652	0.0	0.0	4804	0.9	4803.1	0.9998	0	5141.67	5141.67	5196	4857.43	0.0652	10000	4858.33	0.5142	10000	0	0	250	259.37	9.37	50	48.95	250.0	249.33	-0.67	50.0	59.16	1058	8763		50.0		3.9138e-01	250.0	249.74	-0.26	50.0	48.54	1	1	True	0.336	13
