scenario,condition,t_id,expected,observed,abs_diff,rel_error,total_expected,total_observed,gdna_expected,gdna_pipeline,gdna_abs_diff,nrna_expected,nrna_pipeline,nrna_abs_diff,ctrl_observed,n_fragments,alignment_rate,n_intergenic
single_exon,gdna=5_ss=0.65_nrna=0,t_helper,133,146.19,13.19,0.1,379,404.19,121,94.0,27.0,0,1.81,1.81,0.0,500,1.0,63
single_exon,gdna=5_ss=0.65_nrna=0,t_ctrl,0,0.0,0.0,0.0,379,404.19,121,94.0,27.0,0,1.81,1.81,0.0,500,1.0,63
single_exon,gdna=5_ss=0.65_nrna=30,t1,198,265.0,67.0,0.34,297,360.53,95,85.0,10.0,108,54.47,53.53,0.0,500,1.0,47
single_exon,gdna=5_ss=0.65_nrna=30,t_helper,99,95.53,3.47,0.04,297,360.53,95,85.0,10.0,108,54.47,53.53,0.0,500,1.0,47
single_exon,gdna=5_ss=0.65_nrna=30,t_ctrl,0,0.0,0.0,0.0,297,360.53,95,85.0,10.0,108,54.47,53.53,0.0,500,1.0,47
single_exon,gdna=5_ss=0.65_nrna=50,t1,172,257.0,85.0,0.49,260,328.06,83,66.0,17.0,157,105.94,51.06,0.0,500,1.0,46
single_exon,gdna=5_ss=0.65_nrna=50,t_helper,88,71.06,16.94,0.19,260,328.06,83,66.0,17.0,157,105.94,51.06,0.0,500,1.0,46
single_exon,gdna=5_ss=0.65_nrna=50,t_ctrl,0,0.0,0.0,0.0,260,328.06,83,66.0,17.0,157,105.94,51.06,0.0,500,1.0,46
single_exon,gdna=5_ss=0.8_nrna=0,t1,246,258.0,12.0,0.05,379,403.44,121,95.0,26.0,0,1.56,1.56,0.0,500,1.0,63
single_exon,gdna=5_ss=0.8_nrna=0,t_helper,133,145.44,12.44,0.09,379,403.44,121,95.0,26.0,0,1.56,1.56,0.0,500,1.0,63
single_exon,gdna=5_ss=0.8_nrna=0,t_ctrl,0,0.0,0.0,0.0,379,403.44,121,95.0,26.0,0,1.56,1.56,0.0,500,1.0,63
single_exon,gdna=5_ss=0.8_nrna=30,t1,198,265.0,67.0,0.34,297,358.57,95,82.0,13.0,108,59.43,48.57,0.0,500,1.0,47
single_exon,gdna=5_ss=0.8_nrna=30,t_helper,99,93.57,5.43,0.05,297,358.57,95,82.0,13.0,108,59.43,48.57,0.0,500,1.0,47
single_exon,gdna=5_ss=0.8_nrna=30,t_ctrl,0,0.0,0.0,0.0,297,358.57,95,82.0,13.0,108,59.43,48.57,0.0,500,1.0,47
single_exon,gdna=5_ss=0.8_nrna=50,t1,172,257.0,85.0,0.49,260,341.93,83,67.0,16.0,157,91.07,65.93,0.0,500,1.0,46
single_exon,gdna=5_ss=0.8_nrna=50,t_helper,88,84.93,3.07,0.03,260,341.93,83,67.0,16.0,157,91.07,65.93,0.0,500,1.0,46
single_exon,gdna=5_ss=0.8_nrna=50,t_ctrl,0,0.0,0.0,0.0,260,341.93,83,67.0,16.0,157,91.07,65.93,0.0,500,1.0,46
single_exon,gdna=5_ss=0.9_nrna=0,t1,246,258.0,12.0,0.05,379,403.22,121,96.0,25.0,0,0.78,0.78,0.0,500,1.0,63
single_exon,gdna=5_ss=0.9_nrna=0,t_helper,133,145.22,12.22,0.09,379,403.22,121,96.0,25.0,0,0.78,0.78,0.0,500,1.0,63
single_exon,gdna=5_ss=0.9_nrna=0,t_ctrl,0,0.0,0.0,0.0,379,403.22,121,96.0,25.0,0,0.78,0.78,0.0,500,1.0,63
