TA1	TA2	TA3	TA4	TB	TC	NTA	gdna	strand_specificity	strand_symmetry_kappa	n_fragments	nrna_TB	nrna_TC	TA1_expected	TA2_expected	TA3_expected	TA4_expected	TB_expected	TC_expected	TA1_observed	TA2_observed	TA3_observed	TA4_observed	TB_observed	TC_observed	TA1_abs_diff	TA2_abs_diff	TA3_abs_diff	TA4_abs_diff	TB_abs_diff	TC_abs_diff	TA1_rel_err	TA2_rel_err	TA3_rel_err	TA4_rel_err	TB_rel_err	TC_rel_err	nrna_expected	nrna_observed	nrna_abs_diff	nrna_rel_err	gdna_expected	gdna_observed	gdna_abs_diff	total_mrna_expected	total_mrna_observed	total_mrna_rel_err	total_rna_expected	total_rna_observed	total_rna_rel_err	n_fragments_actual	n_intergenic	n_chimeric
100	0	0	3	0	0	0	100	0.95	6.0	50000	0	0	2662	0	0	57	0	0	2335.0	0.63	6.29	22.29	2.67	84.1	327.0	0.63	6.29	34.71	2.67	84.1	0.1228	0.0	0.0	0.609	0.0	0.0	0	1143.8	1143.8	0.0	47281	46405.23	875.77	2719	2450.97	0.0986	2719	3594.77	0.3221	50000	28152	0
100	0	0	3	0	0	0	100	0.9	2.0	50000	0	0	2662	0	0	57	0	0	2219.27	0.54	12.27	13.19	2.65	0.68	442.73	0.54	12.27	43.81	2.65	0.68	0.1663	0.0	0.0	0.7685	0.0	0.0	0	0.0	0.0	0.0	47281	47751.4	470.4	2719	2248.6	0.173	2719	2248.6	0.173	50000	28152	0
100	0	0	3	0	0	0	100	0.9	4.0	50000	0	0	2662	0	0	57	0	0	2296.76	0.6	6.5	21.14	2.65	3.01	365.24	0.6	6.5	35.86	2.65	3.01	0.1372	0.0	0.0	0.6291	0.0	0.0	0	672.74	672.74	0.0	47281	46996.59	284.41	2719	2330.67	0.1428	2719	3003.41	0.1046	50000	28152	0
100	0	0	3	0	0	0	100	0.9	6.0	50000	0	0	2662	0	0	57	0	0	2304.44	0.61	6.82	20.94	2.65	91.23	357.56	0.61	6.82	36.06	2.65	91.23	0.1343	0.0	0.0	0.6326	0.0	0.0	0	1295.22	1295.22	0.0	47281	46278.09	1002.91	2719	2426.7	0.1075	2719	3721.91	0.3689	50000	28152	0
100	0	0	3	0	0	0	1000	1.0	2.0	50000	0	0	280	0	0	6	0	0	161.38	0.29	0.52	0.36	2.85	0.55	118.62	0.29	0.52	5.64	2.85	0.55	0.4237	0.0	0.0	0.9396	0.0	0.0	0	0.0	0.0	0.0	49714	49834.06	120.06	286	165.94	0.4198	286	165.94	0.4198	50000	29685	0
100	0	0	3	0	0	0	1000	1.0	4.0	50000	0	0	280	0	0	6	0	0	187.92	0.46	0.7	0.6	2.85	1.39	92.08	0.46	0.7	5.4	2.85	1.39	0.3289	0.0	0.0	0.9001	0.0	0.0	0	0.0	0.0	0.0	49714	49806.08	92.08	286	193.92	0.3219	286	193.92	0.3219	50000	29685	0
100	0	0	3	0	0	0	1000	1.0	6.0	50000	0	0	280	0	0	6	0	0	216.8	0.79	0.96	1.15	2.85	16.77	63.2	0.79	0.96	4.85	2.85	16.77	0.2257	0.0	0.0	0.8085	0.0	0.0	0	0.0	0.0	0.0	49714	49760.69	46.69	286	239.31	0.1632	286	239.31	0.1632	50000	29685	0
100	0	0	3	0	0	0	1000	0.95	2.0	50000	0	0	278	0	0	8	0	0	168.98	0.29	0.65	0.31	2.57	0.53	109.02	0.29	0.65	7.69	2.57	0.53	0.3922	0.0	0.0	0.9617	0.0	0.0	0	0.0	0.0	0.0	49714	49826.68	112.68	286	173.32	0.394	286	173.32	0.394	50000	29787	0
100	0	0	3	0	0	0	1000	0.95	4.0	50000	0	0	278	0	0	8	0	0	198.99	0.47	0.9	0.48	2.57	1.39	79.01	0.47	0.9	7.52	2.57	1.39	0.2842	0.0	0.0	0.9405	0.0	0.0	0	0.0	0.0	0.0	49714	49795.21	81.21	286	204.79	0.2839	286	204.79	0.2839	50000	29787	0
100	0	0	3	0	0	0	1000	0.95	6.0	50000	0	0	278	0	0	8	0	0	232.83	0.83	1.29	0.8	2.57	22.01	45.17	0.83	1.29	7.2	2.57	22.01	0.1625	0.0	0.0	0.9002	0.0	0.0	0	0.0	0.0	0.0	49714	49739.68	25.68	286	260.32	0.0898	286	260.32	0.0898	50000	29787	0
