true_source	predicted_binary	predicted_detail	zc	zs	cigar_class	nh	nm	count	rate_within_group
rna	unresolved	unresolved	.	unspliced	all_M	3-10	0	559	0.0044954844105607695
gdna	rna	nrna	ambig_opp_strand	unspliced	other	1	2	555	0.0004168660237666211
gdna	gdna	gdna	multimapper	unspliced	soft_or_hard_clipped	2	2	550	3.539559435541952e-05
rna	rna	mrna	multimapper	spliced_annot	soft_or_hard_clipped	2	0	533	4.144355442316249e-05
gdna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	2	0	532	0.0017944964278727121
rna	rna	nrna	ambig_opp_strand	unspliced	soft_or_hard_clipped	1	1	527	0.0010622601348082691
gdna	rna	mrna	ambig_opp_strand	unspliced	other	1	>=3	520	0.0004895522950117445
gdna	gdna	gdna	.	unknown	all_M	>10	0	512	3.2950080563590536e-05
gdna	gdna	gdna	.	unknown	other	2	>=3	505	3.249959118088519e-05
rna	rna	mrna	multimapper	unspliced	soft_or_hard_clipped	2	0	505	3.926640709886877e-05
gdna	rna	nrna	ambig_opp_strand	unspliced	soft_or_hard_clipped	1	2	502	0.00037705719627179063
rna	rna	mrna	unambig	spliced_annot	soft_or_hard_clipped	1	2	502	3.903314131412301e-05
rna	rna	nrna	ambig_same_strand	unspliced	other	1	>=3	493	0.000993727222885155
gdna	gdna	gdna	.	unknown	all_M	2	>=3	487	3.1341189911071464e-05
rna	rna	nrna	multimapper	unspliced	other	3-10	1	478	0.0009634921146837811
gdna	rna	nrna	ambig_same_strand	spliced_implicit	soft_or_hard_clipped	1	0	473	0.00035527500764254377
rna	unresolved	unresolved	.	spliced_annot	contains_N	1	>=3	472	0.0037958294128527426
gdna	unresolved	unresolved	.	unspliced	all_M	>10	0	469	0.0015819902719404174
gdna	gdna	gdna	unambig	unspliced	soft_or_hard_clipped	1	2	464	2.9861010510753923e-05
rna	rna	nrna	multimapper	spliced_annot	all_M	2	0	463	0.0009332570064824072
rna	rna	nrna	multimapper	unspliced	all_M	3-10	>=3	459	0.0009251943109620408
gdna	rna	mrna	ambig_opp_strand	unspliced	soft_or_hard_clipped	1	1	456	0.0004292997048564529
rna	unresolved	unresolved	.	spliced_annot	contains_N	2	0	448	0.003602821137622942
gdna	rna	nrna	multimapper	unspliced	other	2	>=3	444	0.0003334928190132969
rna	rna	mrna	ambig_same_strand	spliced_unannot	contains_N	1	>=3	440	3.4212315096044075e-05
rna	rna	nrna	multimapper	unspliced	other	2	1	439	0.000884880833360209
gdna	gdna	gdna	unambig	unspliced	other	1	2	438	2.8187764232134088e-05
rna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	1	1	435	0.003498274988540134
gdna	rna	nrna	multimapper	spliced_unannot	all_M	3-10	0	427	0.00032072394981684185
rna	rna	nrna	ambig_opp_strand	spliced_implicit	all_M	1	0	426	0.0008586770729190183
gdna	rna	nrna	ambig_same_strand	spliced_implicit	soft_or_hard_clipped	1	>=3	426	0.0003199728398641092
gdna	rna	nrna	unambig	unspliced	all_M	1	>=3	422	0.00031696840005317856
gdna	gdna	gdna	.	unknown	soft_or_hard_clipped	2	>=3	417	2.683629608401807e-05
rna	rna	mrna	multimapper	unspliced	other	2	>=3	414	3.21906782949142e-05
rna	rna	nrna	ambig_same_strand	spliced_implicit	all_M	1	1	408	0.0008223949430773696
rna	rna	nrna	multimapper	unspliced	soft_or_hard_clipped	3-10	>=3	406	0.0008183635953171864
rna	rna	mrna	multimapper	spliced_annot	contains_N	2	>=3	402	3.125761515593118e-05
rna	gdna	gdna	ambig_opp_strand	unspliced	soft_or_hard_clipped	1	1	399	0.0007845080308848425
gdna	rna	mrna	multimapper	unspliced	all_M	2	1	392	0.0003690471147011613
gdna	rna	mrna	ambig_same_strand	spliced_unannot	contains_N	1	0	387	0.00036433988109527913
rna	rna	nrna	multimapper	unspliced	soft_or_hard_clipped	3-10	1	384	0.0007740187699551715
rna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	3-10	0	377	0.003031838323401449
gdna	rna	mrna	ambig_same_strand	spliced_annot	all_M	1	1	376	0.0003539839671623384
rna	rna	nrna	ambig_same_strand	unspliced	soft_or_hard_clipped	1	>=3	373	0.0007518463572741639
rna	gdna	gdna	.	unknown	soft_or_hard_clipped	1	0	371	0.000729454835735029
rna	rna	nrna	ambig_same_strand	spliced_unannot	soft_or_hard_clipped	1	0	370	0.0007457993356338891
gdna	rna	nrna	multimapper	spliced_unannot	all_M	2	1	368	0.00027640846260561545
gdna	gdna	gdna	.	unknown	all_M	2	2	367	2.3618514778979934e-05
rna	rna	nrna	multimapper	unspliced	all_M	>10	0	367	0.0007397523139936143
gdna	rna	mrna	ambig_same_strand	spliced_unannot	all_M	1	0	365	0.0003436280532293976
gdna	unresolved	unresolved	.	spliced_unannot	all_M	2	1	363	0.0012244402318003656
rna	rna	mrna	ambig_same_strand	spliced_unannot	contains_N	1	2	360	2.7991894169490607e-05
gdna	unresolved	unresolved	.	unspliced	other	1	2	357	0.0012042015502830043
gdna	gdna	gdna	multimapper	unspliced	soft_or_hard_clipped	3-10	>=3	354	2.2781891639670017e-05
gdna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	3-10	1	353	0.0011907090959380965
rna	rna	mrna	ambig_opp_strand	spliced_implicit	all_M	1	>=3	349	2.7136586292089505e-05
rna	rna	nrna	ambig_opp_strand	unspliced	other	1	>=3	348	0.0007014545102718741
rna	rna	nrna	ambig_same_strand	unspliced	other	1	2	347	0.0006994388363917825
rna	gdna	gdna	ambig_opp_strand	unspliced	other	1	1	346	0.0006803001972084098
gdna	rna	mrna	multimapper	spliced_annot	contains_N	2	1	345	0.00032479911880586897
rna	rna	mrna	ambig_opp_strand	spliced_implicit	soft_or_hard_clipped	1	1	342	2.659229946101608e-05
rna	gdna	gdna	unambig	unspliced	soft_or_hard_clipped	1	0	339	0.0006665368984209564
rna	rna	nrna	unambig	unspliced	other	1	1	337	0.0006792820975908666
gdna	rna	nrna	multimapper	unspliced	all_M	2	>=3	330	0.0002478662844017747
gdna	gdna	gdna	.	unknown	all_M	3-10	>=3	330	2.1237356613251712e-05
