true_source	predicted_binary	predicted_detail	feature	value	count	rate_within_group
gdna	unresolved	unresolved	zs	unspliced	145027	0.489192544069729
gdna	unresolved	unresolved	zs	spliced_unannot	3391	0.011438228170895426
gdna	unresolved	unresolved	zs	spliced_annot	186	0.0006273991270382039
gdna	unresolved	unresolved	zw	<0.25	148604	0.5012581713676626
gdna	unresolved	unresolved	zw	missing	147858	0.49874182863233735
rna	gdna	gdna	cigar_class	all_M	483165	0.9499920369485587
rna	gdna	gdna	cigar_class	soft_or_hard_clipped	20134	0.03958717968379804
rna	gdna	gdna	cigar_class	other	5198	0.010220232442454664
rna	gdna	gdna	cigar_class	contains_N	102	0.00020055092518860636
rna	gdna	gdna	mapq	>=60	504258	0.9914647885662379
rna	gdna	gdna	mapq	0-9	4341	0.008535211433762159
rna	gdna	gdna	nh	1	504258	0.9914647885662379
rna	gdna	gdna	nh	2	2468	0.004852545915347848
rna	gdna	gdna	nh	3-10	1712	0.003366109646302883
rna	gdna	gdna	nh	>10	161	0.00031655587211142766
rna	gdna	gdna	nm	0	428131	0.8417849818816002
rna	gdna	gdna	nm	1	62263	0.12242061034331565
rna	gdna	gdna	nm	2	10953	0.021535630231282406
rna	gdna	gdna	nm	>=3	7252	0.014258777543801698
rna	gdna	gdna	template	201-350	385463	0.7578917772154488
rna	gdna	gdna	template	1-200	100856	0.19830160892962825
rna	gdna	gdna	template	351-500	20611	0.04052505018688594
rna	gdna	gdna	template	>1000	945	0.0018580453363062058
rna	gdna	gdna	template	501-1000	670	0.0013173443125133947
rna	gdna	gdna	template	0_or_missing	54	0.00010617401921749748
rna	gdna	gdna	zc	ambig_same_strand	412914	0.8118655365032177
rna	gdna	gdna	zc	ambig_opp_strand	71368	0.14032272969471038
rna	gdna	gdna	zc	unambig	11117	0.021858084660017027
rna	gdna	gdna	zc	.	9491	0.018661066970245714
rna	gdna	gdna	zc	multimapper	3709	0.0072925821718092245
rna	gdna	gdna	zs	unspliced	499108	0.9813389330297543
rna	gdna	gdna	zs	unknown	9491	0.018661066970245714
rna	gdna	gdna	zw	<0.25	145126	0.28534464283256555
rna	gdna	gdna	zw	>=0.99	91079	0.17907821289463802
rna	gdna	gdna	zw	0.90-0.99	79481	0.15627439298936882
rna	gdna	gdna	zw	0.70-0.90	72517	0.1425818768813938
